prov,time,gdp,pergdp,ei,fdi,il,lnpergdp,ui,pilot,post,cross,lnlctfp,lnlci,eps
甘肃省,2011,5020.37,19595.0,1.2938841001758836,0.002868314486780855,0.474,9.883029710633732,0.37200000000000005,0,0,0,-0.37106368139083207,6.386879319362645,8.19836438996762
甘肃省,2012,5650.2,21978.0,1.2401403720222293,0.00474319493115288,0.46,9.997797232006869,0.3875,0,0,0,-0.3856624808119846,6.641182169740591,8.344980368770571
甘肃省,2013,6268.01,24296.0,1.1625699384653183,0.0016592187951199823,0.45,10.098067006725584,0.40130000000000005,0,1,0,-0.4307829160924542,6.82001636467413,8.410498452745275
甘肃省,2014,6836.82,26433.0,1.1000728408821645,0.0023987760391527054,0.428,10.18236850853484,0.4168,0,1,0,-0.527632742082372,6.818924065275521,8.516793111394898
甘肃省,2015,6790.3169,26165.26078,1.1028940342975746,0.0024292827923833716,0.3674007,10.172187885506116,0.43189999999999995,0,1,0,-0.5978370007556204,7.099201743553092,8.575462099540212
甘肃省,2016,7200.37,27643.0,1.0138367889427904,0.0018846253734183106,0.3494,10.227127810341964,0.44689999999999996,0,1,0,-0.6931471805599453,7.203405521083095,8.569595870209286
宁夏回族自治区,2008,1098.51,17892.0,2.9396705355436,0.007919818663462325,0.529,9.792108964552739,0.4498,0,0,0,-0.05129329438755058,5.730099782973574,7.990238185720363
宁夏回族自治区,2009,1353.31,21777.0,2.503235851357043,0.011305613643584988,0.489,9.98860964595295,0.461,0,0,0,-0.06187540371808753,6.175867270105761,8.078067881815437
宁夏回族自治区,2010,1689.65,26860.0,2.1786156659663245,0.009351049033823573,0.49,10.198393470077228,0.479,0,0,0,-0.08338160893905101,6.610696044717759,8.231908243564177
宁夏回族自治区,2011,2102.21,33043.0,2.0532345864590122,0.006945072090799682,0.502,10.405565022544408,0.498,0,0,0,-0.10536051565782628,6.872128101338986,8.506940814951886
宁夏回族自治区,2012,2341.29,36394.0,1.9486648215300113,0.009396529263781933,0.495,10.502159204873188,0.5067,0,0,0,-0.11653381625595151,7.25063551189868,8.547916364059079
宁夏回族自治区,2013,2565.06,39420.0,1.8638940219721956,0.004171442383414033,0.493,10.58202858070671,0.5201,0,1,0,-0.11653381625595151,7.6362696033793735,8.571681376700306
宁夏回族自治区,2014,2752.1,41834.0,1.7971730678391047,0.002289161004323971,0.48700000000000004,10.641464685013865,0.5361,0,1,0,-0.12783337150988489,7.636752112435779,8.549853973655786
宁夏回族自治区,2015,2911.77,43805.0,1.8675925639731161,0.002974822874059421,0.4738012,10.687503245100464,0.5523,0,1,0,-0.13926206733350766,7.8528278122817445,8.587092318795905
宁夏回族自治区,2016,3168.59,47194.0,1.7645072413912812,0.0033958322155911618,0.4697,10.762022044849319,0.5629,0,1,0,-0.12783337150988489,7.859413154693583,8.607216694063826
新疆维吾尔自治区,2008,4203.41,19893.0,1.6818222871430577,0.0053052164790015725,0.496,9.898123190036978,0.39640000000000003,0,0,0,-0.35667494393873245,4.890349128221754,7.579678823090456
新疆维吾尔自治区,2009,4277.05,19942.0,1.7595207046913175,0.0034837095661729464,0.451,9.900583339388739,0.3985,0,0,0,-0.37106368139083207,5.056245805348308,7.817222785508166
新疆维吾尔自治区,2010,5437.47,25034.0,1.5246432035487092,0.003917262991795817,0.47700000000000004,10.127990179887968,0.4301,0,0,0,-0.4307829160924542,5.293304824724492,8.020270472819238
新疆维吾尔自治区,2011,6610.05,30087.0,1.5017288976634064,0.005809335784146867,0.488,10.311848463756318,0.435,0,0,0,-0.3856624808119846,5.697093486505405,8.10711747075039
新疆维吾尔自治区,2012,7505.31,33796.0,1.5764020953165157,0.0040637895036980485,0.46399999999999997,10.428097731272736,0.43979999999999997,0,0,0,-0.4155154439616658,5.855071922202427,8.180320874773685
新疆维吾尔自治区,2013,8360.24,37181.0,1.6305751987981207,0.005430466111020736,0.45,10.523553157094481,0.4447,0,1,0,-0.4942963218147801,6.194405391104672,8.265135629937385
新疆维吾尔自治区,2014,9273.46,40648.0,1.6095394814880315,0.008799304682394706,0.426,10.612704913273568,0.4607,0,1,0,-0.5978370007556204,6.331501849893691,8.421562960400987
新疆维吾尔自治区,2015,9324.8,40036.0,1.6800360329444064,0.005555969028826356,0.3856812,10.59753432833891,0.47229999999999994,0,1,0,-0.6733445532637656,6.499787040655854,8.499640032168648
新疆维吾尔自治区,2016,9649.7,40564.0,1.6893789444231426,0.0030498357461890002,0.3779,10.610636252731886,0.48350000000000004,0,1,0,-0.7765287894989963,6.699500340161678,8.556606193773073
